Country,ISO3,value,date
Jamaica,JAM,11938.90097,01/01/2022
Italy,ITA,55442.07843,01/01/2022
Israel,ISR,52133.60932,01/01/2022
Ireland,IRL,133822.7587,01/01/2022
Iraq,IRQ,10865.42008,01/01/2022
"Iran, Islamic Rep.",IRN,18261.84846,01/01/2022
Indonesia,IDN,14657.78234,01/01/2022
India,IND,8400.382848,01/01/2022
Iceland,ISL,71840.12649,01/01/2022
Hungary,HUN,43659.45077,01/01/2022
"Hong Kong SAR, China",HKG,69072.31048,01/01/2022
Honduras,HND,6743.330064,01/01/2022
Haiti,HTI,3306.170824,01/01/2022
Guyana,GUY,42089.90036,01/01/2022
Guinea-Bissau,GNB,2191.164859,01/01/2022
Guinea,GIN,3188.075104,01/01/2022
Guatemala,GTM,10821.75545,01/01/2022
Grenada,GRD,17082.89267,01/01/2022
Greece,GRC,38922.47423,01/01/2022
Ghana,GHA,6473.089846,01/01/2022
Germany,DEU,66616.02225,01/01/2022
Georgia,GEO,20172.07646,01/01/2022
"Gambia, The",GMB,2496.495435,01/01/2022
Gabon,GAB,16464.97432,01/01/2022
France,FRA,57594.03402,01/01/2022
Finland,FIN,62823.03529,01/01/2022
Fiji,FJI,14632.21006,01/01/2022
Ethiopia,ETH,2812.513134,01/01/2022
Eswatini,SWZ,10699.54236,01/01/2022
Estonia,EST,48168.3971,01/01/2022
Equatorial Guinea,GNQ,17620.74097,01/01/2022
El Salvador,SLV,11098.09839,01/01/2022
"Egypt, Arab Rep.",EGY,15095.99005,01/01/2022
Ecuador,ECU,12826.36135,01/01/2022
Dominican Republic,DOM,22841.0898,01/01/2022
Dominica,DMA,13540.22461,01/01/2022
Djibouti,DJI,5893.238371,01/01/2022
Denmark,DNK,77953.67866,01/01/2022
Czechia,CZE,51695.18166,01/01/2022
Cyprus,CYP,53785.74609,01/01/2022
Curacao,CUW,27302.21764,01/01/2022
Croatia,HRV,42171.1848,01/01/2022
Cote d'Ivoire,CIV,6540.462355,01/01/2022
Costa Rica,CRI,26181.13829,01/01/2022
"Congo, Rep.",COG,4335.055001,01/01/2022
"Congo, Dem. Rep.",COD,1337.834149,01/01/2022
Comoros,COM,3833.738563,01/01/2022
Colombia,COL,20951.54073,01/01/2022
China,CHN,21482.56218,01/01/2022
Chile,CHL,31436.57725,01/01/2022
Chad,TCD,1668.575526,01/01/2022
Central African Republic,CAF,973.2462704,01/01/2022
Cayman Islands,CYM,84279.61998,01/01/2022
Canada,CAN,61380.19839,01/01/2022
Cameroon,CMR,4398.048919,01/01/2022
Cambodia,KHM,5355.171908,01/01/2022
Cabo Verde,CPV,8715.995684,01/01/2022
Burundi,BDI,836.4645675,01/01/2022
Burkina Faso,BFA,2549.934982,01/01/2022
Bulgaria,BGR,35469.87165,01/01/2022
Brunei Darussalam,BRN,69297.93271,01/01/2022
Brazil,BRA,17827.64105,01/01/2022
Botswana,BWA,18329.84926,01/01/2022
Bosnia and Herzegovina,BIH,20950.19985,01/01/2022
Bolivia,BOL,9737.676068,01/01/2022
Bhutan,BTN,12795.35177,01/01/2021
Bermuda,BMU,95868.78026,01/01/2022
Benin,BEN,4057.451755,01/01/2022
Belize,BLZ,11189.86408,01/01/2022
Belgium,BEL,68253.33207,01/01/2022
Belarus,BLR,22550.64044,01/01/2022
Barbados,BRB,18210.1343,01/01/2022
Bangladesh,BGD,7397.545737,01/01/2022
Bahrain,BHR,61248.18013,01/01/2022
"Bahamas, The",BHS,40942.77672,01/01/2022
Azerbaijan,AZE,17828.60839,01/01/2022
Austria,AUT,70975.72063,01/01/2022
Australia,AUS,65388.21596,01/01/2022
Aruba,ABW,48750.31601,01/01/2022
Armenia,ARM,18965.72757,01/01/2022
Argentina,ARG,26530.32312,01/01/2022
Antigua and Barbuda,ATG,26365.46898,01/01/2022
Angola,AGO,6976.006469,01/01/2022
Algeria,DZA,13226.78957,01/01/2022
Albania,ALB,19496.21485,01/01/2022
Afghanistan,AFG,1673.144189,01/01/2021
